# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — batch 2 (CC-M2-10.2) (spec_sha16=552d21d7a848efe2)
# params_hash=00c21776223b82281297cb2b32ca2d3a786d1f1abda99aeb43d935f37bf8819a
# CC-M2-10.2 census batch 2 — P020/P021/P022, strictly causal detectors over the frozen v3 roster
# BOTH CC-M1-8 certificate readings are reported on every row
# Holm-Bonferroni is applied over the WHOLE batch, not per pattern
reading	asset	era	phase	side	group	n_sessions	n_candidates	per_session	mean_close	cond_close	posfrac_close	mean_peak	cond_peak	posfrac_peak	n_winners	winner_frac
P022	ALL	FIT	TOKYO	ALL	NOFIRE	2960	337513	114.024662	-34.723540	607.708668	0.442116	1080.234069	1163.427144	0.943854	15754	0.046677
P022	ALL	FIT	LONDON	ALL	FIRE	2960	0	0.000000							0	
P022	ALL	FIT	LONDON	ALL	NOFIRE	2960	214776	72.559459	-30.747901	422.942054	0.454366	965.087731	1028.859088	0.952062	5916	0.027545
P022	ALL	FIT	NY	ALL	FIRE	2960	8564	2.893243	-61.287220	1025.257736	0.403783	833.390355	912.104198	0.937412	863	0.100771
P022	ALL	FIT	NY	ALL	NOFIRE	2960	661415	223.451014	-24.543413	768.306976	0.433580	665.589220	726.082184	0.936067	47147	0.071282
P022	ALL	FIT	ALL	LONG	FIRE	2960	4334	1.464189	-28.655976	978.190229	0.433318	883.799319	964.040662	0.937702	435	0.100369
P022	ALL	FIT	ALL	LONG	NOFIRE	2960	610046	206.096622	-27.135134	650.672434	0.447417	807.652509	873.610139	0.941860	34016	0.055760
P022	ALL	FIT	ALL	SHORT	FIRE	2960	4230	1.429054	-94.720745	1081.202532	0.373522	781.742021	858.857530	0.937116	428	0.101182
P022	ALL	FIT	ALL	SHORT	NOFIRE	2960	603658	203.938514	-29.823607	670.240516	0.431764	860.414730	931.277141	0.940258	34801	0.057650
P022	SI	FIT	ALL	ALL	FIRE	916	3504	3.825328	-89.018265	1202.245827	0.376142	986.377711	1073.249166	0.940925	392	0.111872
P022	SI	FIT	ALL	ALL	NOFIRE	916	401973	438.835153	-11.339574	844.528471	0.426225	967.809990	1040.864596	0.946606	28520	0.070950
P022	SI	GATE_2025	ALL	ALL	FIRE	258	1066	4.131783	-47.295966	1641.009887	0.332083	1337.331144	1468.956237	0.932458	102	0.095685
P022	SI	GATE_2025	ALL	ALL	NOFIRE	258	132631	514.073643	-18.034849	1438.758610	0.350265	1489.095837	1628.581054	0.930718	8989	0.067775
P022	SI	2021	ALL	ALL	FIRE	142	487	3.429577	46.950719	1138.463303	0.447639	967.484600	1038.115551	0.950719	62	0.127310
P022	SI	2021	ALL	ALL	NOFIRE	142	55008	387.380282	-17.215950	700.423545	0.440481	863.147588	929.313951	0.946390	3482	0.063300
P022	SI	2022	ALL	ALL	FIRE	258	1025	3.972868	-154.426829	973.149100	0.379512	885.353659	972.854536	0.935610	78	0.076098
P022	SI	2022	ALL	ALL	NOFIRE	258	114408	443.441860	-10.374078	830.798269	0.432286	950.785435	1024.844884	0.945257	8525	0.074514
P022	SI	2023	ALL	ALL	FIRE	257	1075	4.182879	3.372093	1180.604396	0.423256	914.976744	997.961500	0.942326	139	0.129302
P022	SI	2023	ALL	ALL	NOFIRE	257	113745	442.587549	-9.270847	747.644925	0.438595	865.095828	929.958242	0.947945	7503	0.065963
P022	SI	2024	ALL	ALL	FIRE	259	917	3.540541	-196.425845	1643.144531	0.279171	1193.037077	1292.288283	0.940022	113	0.123228
P022	SI	2024	ALL	ALL	NOFIRE	259	118812	458.733591	-11.529117	1033.071132	0.401946	1130.994155	1214.208184	0.946723	9010	0.075834
P022	SI	FIT	TOKYO	ALL	FIRE	916	0	0.000000							0	
