# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — batch 3 (CC-M2-12.4) (spec_sha16=18d12ab86a4ee6b0)
# params_hash=4a425ed1c08530a32b70ca198ac70719f94dcc3a706dee8eb1caeaaad81b811b
# CC-M2-12.4 census batch 3 — P025/P023/P024/P007-as-entry, strictly causal detectors over the frozen v3 roster
# BOTH CC-M1-8 certificate readings are reported on every row
# Holm-Bonferroni is applied over the WHOLE batch, not per pattern
# S7 c2f / S7 erosion / S8 through-book side are NOT censusable at era scale (MBP-1 event cache covers 488 of 3,734 sessions)
reading	asset	scope	term	n_candidates	per_session	mean_close	cond_close	posfrac_close	mean_peak	cond_peak	n_winners	winner_frac
P023_OR	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T3_live_book	7906	2.670946	-40.622470	702.774521	0.442322	909.662914	991.635396	524	0.066279
P023_OR	ALL	TERM_ALONE	T4_price_failure	1188230	401.429054	-28.543753	655.754910	0.439960	830.361878	898.556057	67021	0.056404
P023_OR	ALL	DETECTOR_MINUS_TERM	T4_price_failure	144917	48.958446	-21.952549	853.202159	0.432572	899.810167	965.237717	11591	0.079984
P023_OR	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T4_price_failure	15680	5.297297	-27.411910	963.483981	0.415051	975.658881	1052.835783	1325	0.084503
P023_OR	SI	TERM_ALONE	T1_opposed_5m	106285	116.031659	-11.687444	885.624513	0.422628	979.167686	1050.194602	8120	0.076398
P023_OR	SI	DETECTOR_MINUS_TERM	T1_opposed_5m	200482	218.866812	-4.777474	1080.228891	0.409797	1001.802294	1077.403419	18566	0.092607
P023_OR	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_opposed_5m	146272	159.685590	-5.699297	1082.841638	0.408479	1004.316035	1081.478554	13391	0.091549
P023_OR	SI	TERM_ALONE	T2_vol_abs_or_rel	213538	233.120087	-5.498799	1087.307747	0.408433	1006.953376	1083.313920	19756	0.092517
P023_OR	SI	DETECTOR_MINUS_TERM	T2_vol_abs_or_rel	98074	107.067686	-12.283403	868.510027	0.425057	970.015422	1039.961052	7420	0.075657
P023_OR	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T2_vol_abs_or_rel	43864	47.886463	-24.633697	630.526350	0.439518	939.113624	1007.087373	2245	0.051181
P023_OR	SI	TERM_ALONE	T3_live_book	399247	435.859170	-11.628478	854.179835	0.425761	967.312002	1040.235380	28762	0.072041
P023_OR	SI	DETECTOR_MINUS_TERM	T3_live_book	54453	59.446507	-2.250611	1071.498445	0.413476	995.781408	1067.327220	5192	0.095348
P023_OR	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T3_live_book	243	0.265284	6.574074	702.126168	0.440329	1165.730453	1266.681416	17	0.069959
P023_OR	SI	TERM_ALONE	T4_price_failure	392940	428.973799	-11.780075	836.163267	0.427144	964.555117	1037.317704	27754	0.070632
P023_OR	SI	DETECTOR_MINUS_TERM	T4_price_failure	60659	66.221616	-1.798290	1095.941103	0.410343	1007.375740	1080.172191	5824	0.096012
P023_OR	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T4_price_failure	6449	7.040393	2.336409	1300.608135	0.385021	1111.240890	1195.988296	649	0.100636
P023_OR	HG	TERM_ALONE	T1_opposed_5m	110473	108.200784	-26.533146	516.953933	0.462303	726.411012	768.894039	5204	0.047107
P023_OR	HG	DETECTOR_MINUS_TERM	T1_opposed_5m	175137	171.534770	-28.507062	623.625762	0.461542	740.050696	783.566164	10716	0.061186
P023_OR	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_opposed_5m	127076	124.462292	-28.866426	626.578695	0.461614	740.531316	785.000605	7709	0.060664
P023_OR	HG	TERM_ALONE	T2_vol_abs_or_rel	186243	182.412341	-27.709880	626.584546	0.461526	745.715899	789.599115	11436	0.061404
P023_OR	HG	DETECTOR_MINUS_TERM	T2_vol_abs_or_rel	102792	100.677767	-26.446951	510.367604	0.462993	719.961208	761.612734	4785	0.046550
P023_OR	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T2_vol_abs_or_rel	54731	53.605289	-25.472287	418.387033	0.464435	703.435918	745.553637	1778	0.032486
P023_OR	HG	TERM_ALONE	T3_live_book	410326	401.886386	-27.789029	509.058729	0.462437	719.804302	764.115163	18404	0.044852
P023_OR	HG	DETECTOR_MINUS_TERM	T3_live_book	48363	47.368266	-27.640758	615.687511	0.461427	739.607836	780.517089	3018	0.062403
P023_OR	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T3_live_book	302	0.295788	-40.989238	596.136364	0.473510	871.365894	895.529661	11	0.036424
P023_OR	HG	TERM_ALONE	T4_price_failure	406228	397.872674	-27.966151	503.411476	0.462167	716.927264	761.429868	17926	0.044128
P023_OR	HG	DETECTOR_MINUS_TERM	T4_price_failure	53353	52.255632	-27.144959	622.086131	0.460518	747.841921	790.220947	3352	0.062827
P023_OR	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T4_price_failure	5292	5.183154	-23.403959	680.108990	0.452948	830.141487	885.613254	345	0.065193
P023_OR	NKD	TERM_ALONE	T1_opposed_5m	142554	139.348974	-51.735009	656.291948	0.429774	816.282637	906.233911	8066	0.056582
P023_OR	NKD	DETECTOR_MINUS_TERM	T1_opposed_5m	74556	72.879765	-41.402503	847.808557	0.427303	963.103674	1059.303932	5899	0.079122
