# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — batch 3 (CC-M2-12.4) (spec_sha16=18d12ab86a4ee6b0)
# params_hash=4a425ed1c08530a32b70ca198ac70719f94dcc3a706dee8eb1caeaaad81b811b
# CC-M2-12.4 census batch 3 — P025/P023/P024/P007-as-entry, strictly causal detectors over the frozen v3 roster
# BOTH CC-M1-8 certificate readings are reported on every row
# Holm-Bonferroni is applied over the WHOLE batch, not per pattern
# S7 c2f / S7 erosion / S8 through-book side are NOT censusable at era scale (MBP-1 event cache covers 488 of 3,734 sessions)
reading	asset	era	metric	n	n_clusters	n_fires	beta_usd	se_naive	se_cr0	se_cr1	z_cr1	p_cr1	icc_rho	deff	n_eff	verdict	holm_rank	holm_threshold	holm_verdict
P023_REL	HG	GATE_2025	cert_close	112227	258	8211	10.922551	10.810828	29.646104	29.703858	0.367715	0.713086	0.021178	10.179323	11024.996891	NOT_SIGNIFICANT	326	0.001064	HOLM_NOT_SIGNIFICANT
P023_REL	HG	GATE_2025	cert_peak	112227	258	8211	170.943296	14.496787	29.527242	29.584764	5.778085	0.000000	0.088590	39.398789	2848.488553	SIGNIFICANT_p<0.05	121	0.000198	HOLM_SIGNIFICANT
P023_REL	NKD	FIT	cert_close	399526	1023	26941	-1.539057	5.313754	12.123426	12.129371	-0.126887	0.899030	0.014414	6.613262	60412.847326	NOT_SIGNIFICANT	355	0.002778	HOLM_NOT_SIGNIFICANT
P023_REL	NKD	FIT	cert_peak	399526	1023	26941	144.042883	6.654491	14.095172	14.102084	10.214298	0.000000	0.103320	41.236956	9688.542561	SIGNIFICANT_p<0.05	65	0.000162	HOLM_SIGNIFICANT
P023_REL	NKD	GATE_2025	cert_close	112168	258	7405	-20.400512	15.150768	37.679433	37.752837	-0.540370	0.588942	0.034497	15.931347	7040.710458	NOT_SIGNIFICANT	297	0.000658	HOLM_NOT_SIGNIFICANT
P023_REL	NKD	GATE_2025	cert_peak	112168	258	7405	175.497225	19.740541	45.856586	45.945920	3.819648	0.000134	0.090904	40.346507	2780.116721	SIGNIFICANT_p<0.05	139	0.000214	HOLM_SIGNIFICANT
P023_OR	ALL	FIT	cert_close	1222268	2960	129237	8.288419	2.476331	9.373616	9.375204	0.884079	0.376654	0.022433	10.240405	119357.383380	NOT_SIGNIFICANT	262	0.000450	HOLM_NOT_SIGNIFICANT
P023_OR	ALL	FIT	cert_peak	1222268	2960	129237	63.422390	3.044365	8.228117	8.229511	7.706702	0.000000	0.107100	45.114907	27092.330853	SIGNIFICANT_p<0.05	94	0.000179	HOLM_SIGNIFICANT
P023_OR	ALL	GATE_2025	cert_close	358092	774	35797	72.471971	7.625262	29.958224	29.977637	2.417534	0.015626	0.027882	13.865479	25826.153783	SIGNIFICANT_p<0.05	169	0.000245	HOLM_NOT_SIGNIFICANT
P023_OR	ALL	GATE_2025	cert_peak	358092	774	35797	266.969754	11.268983	53.186852	53.221318	5.016218	0.000001	0.089304	42.207482	8484.088273	SIGNIFICANT_p<0.05	127	0.000203	HOLM_SIGNIFICANT
P023_OR	SI	FIT	cert_close	405477	916	54210	11.220844	4.576404	19.437450	19.448093	0.576964	0.563964	0.033161	15.643703	25919.502375	NOT_SIGNIFICANT	293	0.000625	HOLM_NOT_SIGNIFICANT
P023_OR	SI	FIT	cert_peak	405477	916	54210	31.223570	5.429601	15.575922	15.584450	2.003508	0.045123	0.089446	40.498570	10012.131239	SIGNIFICANT_p<0.05	184	0.000265	HOLM_NOT_SIGNIFICANT
P023_OR	SI	GATE_2025	cert_close	133697	258	16777	145.402024	14.150224	51.285536	51.385409	2.829636	0.004660	0.026811	14.852857	9001.433479	SIGNIFICANT_p<0.05	156	0.000230	HOLM_NOT_SIGNIFICANT
P023_OR	SI	GATE_2025	cert_peak	133697	258	16777	339.875828	22.172137	85.261319	85.427355	3.978536	0.000069	0.071352	37.866902	3530.708714	SIGNIFICANT_p<0.05	136	0.000211	HOLM_SIGNIFICANT
P023_OR	HG	FIT	cert_close	417265	1021	48061	0.274078	3.218107	10.047278	10.052214	0.027265	0.978248	0.010435	5.253842	79420.928170	NOT_SIGNIFICANT	367	0.008333	HOLM_NOT_SIGNIFICANT
P023_OR	HG	FIT	cert_peak	417265	1021	48061	21.510091	4.045415	9.850826	9.855665	2.182510	0.029072	0.107931	44.996430	9273.291256	SIGNIFICANT_p<0.05	174	0.000251	HOLM_NOT_SIGNIFICANT
P023_OR	HG	GATE_2025	cert_close	112227	258	11599	26.414843	9.247483	38.416222	38.491061	0.686259	0.492550	0.021178	10.179323	11024.996891	NOT_SIGNIFICANT	281	0.000543	HOLM_NOT_SIGNIFICANT
P023_OR	HG	GATE_2025	cert_peak	112227	258	11599	122.108592	12.403138	32.067031	32.129501	3.800513	0.000144	0.088590	39.398789	2848.488553	SIGNIFICANT_p<0.05	140	0.000215	HOLM_SIGNIFICANT
P023_OR	NKD	FIT	cert_close	399526	1023	26966	-1.857283	5.311469	12.137646	12.143598	-0.152943	0.878443	0.014414	6.613262	60412.847326	NOT_SIGNIFICANT	351	0.002273	HOLM_NOT_SIGNIFICANT
P023_OR	NKD	FIT	cert_peak	399526	1023	26966	143.999502	6.651628	14.096061	14.102974	10.210577	0.000000	0.103320	41.236956	9688.542561	SIGNIFICANT_p<0.05	66	0.000163	HOLM_SIGNIFICANT
P023_OR	NKD	GATE_2025	cert_close	112168	258	7421	-22.516993	15.135555	37.803635	37.877280	-0.594472	0.552196	0.034497	15.931347	7040.710458	NOT_SIGNIFICANT	290	0.000602	HOLM_NOT_SIGNIFICANT
P023_OR	NKD	GATE_2025	cert_peak	112168	258	7421	173.418026	19.720905	45.912283	46.001725	3.769816	0.000163	0.090904	40.346507	2780.116721	SIGNIFICANT_p<0.05	141	0.000216	HOLM_SIGNIFICANT
P024_A_core	ALL	FIT	cert_close	1222268	2960	1823	0.781002	19.731857	63.817564	63.828373	0.012236	0.990237	0.022433	10.240405	119357.383380	NOT_SIGNIFICANT	370	0.016667	HOLM_NOT_SIGNIFICANT
P024_A_core	ALL	FIT	cert_peak	1222268	2960	1823	35.352386	24.262231	66.800031	66.811345	0.529137	0.596710	0.107100	45.114907	27092.330853	NOT_SIGNIFICANT	299	0.000676	HOLM_NOT_SIGNIFICANT
P024_A_core	ALL	GATE_2025	cert_close	358092	774	626	-90.691203	54.758737	130.337973	130.422435	-0.695365	0.486827	0.027882	13.865479	25826.153783	NOT_SIGNIFICANT	280	0.000538	HOLM_NOT_SIGNIFICANT
P024_A_core	ALL	GATE_2025	cert_peak	358092	774	626	-114.353420	80.978395	172.981119	173.093214	-0.660646	0.508839	0.089304	42.207482	8484.088273	NOT_SIGNIFICANT	283	0.000556	HOLM_NOT_SIGNIFICANT
P024_A_core	SI	FIT	cert_close	405477	916	521	41.517168	43.477315	140.371852	140.448710	0.295604	0.767533	0.033161	15.643703	25919.502375	NOT_SIGNIFICANT	335	0.001316	HOLM_NOT_SIGNIFICANT
P024_A_core	SI	FIT	cert_peak	405477	916	521	-36.452985	51.584704	159.859119	159.946647	-0.227907	0.819718	0.089446	40.498570	10012.131239	NOT_SIGNIFICANT	343	0.001667	HOLM_NOT_SIGNIFICANT
P024_A_core	SI	GATE_2025	cert_close	133697	258	78	-547.147209	194.196773	164.418091	164.738276	-3.321312	0.000896	0.026811	14.852857	9001.433479	SIGNIFICANT_p<0.05	151	0.000225	HOLM_NOT_SIGNIFICANT
P024_A_core	SI	GATE_2025	cert_peak	133697	258	78	-721.511844	304.438729	186.488895	186.852061	-3.861407	0.000113	0.071352	37.866902	3530.708714	SIGNIFICANT_p<0.05	137	0.000212	HOLM_SIGNIFICANT
P024_A_core	HG	FIT	cert_close	417265	1021	363	-22.709347	34.846529	108.271540	108.324731	-0.209641	0.833948	0.010435	5.253842	79420.928170	NOT_SIGNIFICANT	347	0.001923	HOLM_NOT_SIGNIFICANT
P024_A_core	HG	FIT	cert_peak	417265	1021	363	-65.472375	43.806234	87.794880	87.838012	-0.745376	0.456044	0.107931	44.996430	9273.291256	NOT_SIGNIFICANT	275	0.000510	HOLM_NOT_SIGNIFICANT
P024_A_core	HG	GATE_2025	cert_close	112227	258	145	105.355147	78.370675	141.708278	141.984340	0.742019	0.458076	0.021178	10.179323	11024.996891	NOT_SIGNIFICANT	276	0.000515	HOLM_NOT_SIGNIFICANT
P024_A_core	HG	GATE_2025	cert_peak	112227	258	145	164.722277	105.155513	267.417288	267.938244	0.614777	0.538702	0.088590	39.398789	2848.488553	NOT_SIGNIFICANT	287	0.000581	HOLM_NOT_SIGNIFICANT
P024_A_core	NKD	FIT	cert_close	399526	1023	939	-4.458370	27.518622	86.612924	86.655396	-0.051449	0.958967	0.014414	6.613262	60412.847326	NOT_SIGNIFICANT	363	0.005000	HOLM_NOT_SIGNIFICANT
P024_A_core	NKD	FIT	cert_peak	399526	1023	939	100.854048	34.481798	84.940641	84.982293	1.186765	0.235320	0.103320	41.236956	9688.542561	NOT_SIGNIFICANT	230	0.000350	HOLM_NOT_SIGNIFICANT
P024_A_core	NKD	GATE_2025	cert_close	112168	258	403	-62.210261	62.877797	189.643216	190.012660	-0.327401	0.743365	0.034497	15.931347	7040.710458	NOT_SIGNIFICANT	332	0.001220	HOLM_NOT_SIGNIFICANT
