# PORT_M1B_SPEC.md D-065 EPISODE CENSUS (episode-grain generation quality) (spec_sha16=d31f48b59877e44d)
# params_hash=b275c684b91d617686d714eb547ad3d01d6ae0cf00a335173192b4c0e8bc0aaf
# same session AND same side AND same oracle leg; membership leg_start_sec <= dec_sec <= leg_end_sec (INCLUSIVE); overlapping legs -> the first by (start, end)
# candidates in NO leg: chain-link on consecutive same-side decision_secs with gap <= GAP (INCLUSIVE)
# haystack_shrink = episode base rate / candidate base rate (CC-M1-8: reported for BOTH certificate readings)
asset	era	gap_sec	n_days	n_candidates	n_episodes	episodes_per_day	candidates_per_day	candidates_per_episode	median_episode_size	max_episode_size	multi_member_share	n_leg_episodes	n_chain_episodes	leg_candidate_share	n_cand_1k_close	cand_base_rate_close	n_epi_1k_close	epi_base_rate_close	haystack_shrink_close	cand_1k_per_day_close	episodes_1k_per_day_close	n_cand_1k_peak	cand_base_rate_peak	n_epi_1k_peak	epi_base_rate_peak	haystack_shrink_peak	cand_1k_per_day_peak	episodes_1k_per_day_peak
HG	2025	1800	258	112227	4917	19.058140	434.988372	22.824283	6.000000	569	0.832215	714	4203	0.277304	11018	0.098176	679	0.138092	1.406579	42.705426	2.631783	36716	0.327158	1962	0.399024	1.219666	142.310078	7.604651
HG	ALL	600	1279	529492	80067	62.601251	413.989054	6.613112	2.000000	490	0.667903	2656	77411	0.240317	37747	0.071289	4044	0.050508	0.708491	29.512901	3.161845	143049	0.270163	21199	0.264766	0.980023	111.844410	16.574668
HG	ALL	900	1279	529492	53110	41.524629	413.989054	9.969723	3.000000	526	0.728394	2656	50454	0.240317	37747	0.071289	3213	0.060497	0.848616	29.512901	2.512119	143049	0.270163	15095	0.284221	1.052038	111.844410	11.802189
HG	ALL	1800	1279	529492	23055	18.025801	413.989054	22.966471	7.000000	569	0.818391	2656	20399	0.240317	37747	0.071289	2391	0.103709	1.454760	29.512901	1.869429	143049	0.270163	8170	0.354370	1.311691	111.844410	6.387803
HG	FIT_2021_2024	600	1021	417265	64673	63.342801	408.682664	6.451920	2.000000	356	0.666584	1942	62731	0.230369	26729	0.064058	2935	0.045382	0.708458	26.179236	2.874633	106333	0.254833	16356	0.252903	0.992426	104.145935	16.019589
HG	FIT_2021_2024	900	1021	417265	42713	41.834476	408.682664	9.769040	3.000000	496	0.727858	1942	40771	0.230369	26729	0.064058	2316	0.054222	0.846463	26.179236	2.268364	106333	0.254833	11654	0.272844	1.070678	104.145935	11.414300
HG	FIT_2021_2024	1800	1021	417265	18138	17.764936	408.682664	23.005017	7.000000	519	0.814643	1942	16196	0.230369	26729	0.064058	1712	0.094387	1.473478	26.179236	1.676787	106333	0.254833	6208	0.342265	1.343093	104.145935	6.080313
HG	GATE_2025	600	258	112227	15394	59.666667	434.988372	7.290308	2.000000	490	0.673444	714	14680	0.277304	11018	0.098176	1109	0.072041	0.733795	42.705426	4.298450	36716	0.327158	4843	0.314603	0.961623	142.310078	18.771318
HG	GATE_2025	900	258	112227	10397	40.298450	434.988372	10.794171	3.000000	526	0.730595	714	9683	0.277304	11018	0.098176	897	0.086275	0.878778	42.705426	3.476744	36716	0.327158	3441	0.330961	1.011623	142.310078	13.337209
HG	GATE_2025	1800	258	112227	4917	19.058140	434.988372	22.824283	6.000000	569	0.832215	714	4203	0.277304	11018	0.098176	679	0.138092	1.406579	42.705426	2.631783	36716	0.327158	1962	0.399024	1.219666	142.310078	7.604651
NKD	2021	600	248	92439	14910	60.120968	372.737903	6.199799	2.000000	271	0.642388	496	14414	0.249689	6796	0.073519	702	0.047082	0.640415	27.403226	2.830645	25406	0.274841	2887	0.193628	0.704511	102.443548	11.641129
NKD	2021	900	248	92439	10603	42.754032	372.737903	8.718193	3.000000	601	0.701500	496	10107	0.249689	6796	0.073519	574	0.054136	0.736351	27.403226	2.314516	25406	0.274841	2087	0.196831	0.716164	102.443548	8.415323
NKD	2021	1800	248	92439	5118	20.637097	372.737903	18.061547	5.000000	601	0.823955	496	4622	0.249689	6796	0.073519	441	0.086166	1.172034	27.403226	1.778226	25406	0.274841	1228	0.239937	0.873006	102.443548	4.951613
NKD	2022	600	258	107609	14955	57.965116	417.089147	7.195520	2.000000	163	0.690471	602	14353	0.289195	8602	0.079938	819	0.054764	0.685088	33.341085	3.174419	30225	0.280878	3804	0.254363	0.905600	117.151163	14.744186
NKD	2022	900	258	107609	10133	39.275194	417.089147	10.619659	3.000000	262	0.763051	602	9531	0.289195	8602	0.079938	681	0.067206	0.840733	33.341085	2.639535	30225	0.280878	2742	0.270601	0.963411	117.151163	10.627907
NKD	2022	1800	258	107609	4681	18.143411	417.089147	22.988464	8.000000	386	0.879086	602	4079	0.289195	8602	0.079938	527	0.112583	1.408384	33.341085	2.042636	30225	0.280878	1618	0.345653	1.230615	117.151163	6.271318
NKD	2023	600	258	93616	15530	60.193798	362.852713	6.028075	2.000000	205	0.667418	502	15028	0.252233	6619	0.070704	777	0.050032	0.707632	25.655039	3.011628	24543	0.262167	3282	0.211333	0.806101	95.127907	12.720930
NKD	2023	900	258	93616	10887	42.197674	362.852713	8.598879	3.000000	266	0.733811	502	10385	0.252233	6619	0.070704	630	0.057867	0.818446	25.655039	2.441860	24543	0.262167	2381	0.218701	0.834207	95.127907	9.228682
NKD	2023	1800	258	93616	5291	20.507752	362.852713	17.693442	6.000000	290	0.837838	502	4789	0.252233	6619	0.070704	485	0.091665	1.296468	25.655039	1.879845	24543	0.262167	1442	0.272538	1.039561	95.127907	5.589147
NKD	2024	600	259	105862	13560	52.355212	408.733591	7.806932	2.000000	988	0.668953	948	12612	0.375801	12796	0.120874	1432	0.105605	0.873674	49.405405	5.528958	37584	0.355028	4498	0.331711	0.934323	145.111969	17.366795
NKD	2024	900	259	105862	9375	36.196911	408.733591	11.291947	3.000000	993	0.747840	948	8427	0.375801	12796	0.120874	1146	0.122240	1.011298	49.405405	4.424710	37584	0.355028	3376	0.360107	1.014304	145.111969	13.034749
NKD	2024	1800	259	105862	4607	17.787645	408.733591	22.978511	11.000000	996	0.882787	948	3659	0.375801	12796	0.120874	881	0.191231	1.582062	49.405405	3.401544	37584	0.355028	2109	0.457782	1.289423	145.111969	8.142857
NKD	2025	600	258	112168	12842	49.775194	434.759690	8.734465	2.000000	949	0.669833	933	11909	0.349975	14569	0.129886	1362	0.106058	0.816552	56.468992	5.279070	41370	0.368822	4435	0.345351	0.936363	160.348837	17.189922
NKD	2025	900	258	112168	9018	34.953488	434.759690	12.438235	3.000000	1268	0.748281	933	8085	0.349975	14569	0.129886	1113	0.123420	0.950220	56.468992	4.313953	41370	0.368822	3289	0.364715	0.988865	160.348837	12.748062
NKD	2025	1800	258	112168	4595	17.810078	434.759690	24.410881	10.000000	1268	0.871164	933	3662	0.349975	14569	0.129886	879	0.191295	1.472796	56.468992	3.406977	41370	0.368822	2089	0.454625	1.232640	160.348837	8.096899
NKD	ALL	600	1281	511694	71797	56.047619	399.448868	7.126955	2.000000	988	0.667744	3481	68316	0.306537	49382	0.096507	5092	0.070922	0.734892	38.549571	3.975020	159128	0.310983	18906	0.263326	0.846754	124.221702	14.758782
NKD	ALL	900	1281	511694	50016	39.044496	399.448868	10.230606	3.000000	1268	0.738124	3481	46535	0.306537	49382	0.096507	4144	0.082853	0.858524	38.549571	3.234973	159128	0.310983	13875	0.277411	0.892047	124.221702	10.831382
NKD	ALL	1800	1281	511694	24292	18.963310	399.448868	21.064301	7.000000	1268	0.857690	3481	20811	0.306537	49382	0.096507	3213	0.132266	1.370532	38.549571	2.508197	159128	0.310983	8486	0.349333	1.123320	124.221702	6.624512
NKD	FIT_2021_2024	600	1023	399526	58955	57.629521	390.543500	6.776796	2.000000	988	0.667289	2548	56407	0.294341	34813	0.087136	3730	0.063269	0.726092	34.030303	3.646139	117758	0.294744	14471	0.245458	0.832784	115.110459	14.145650
NKD	FIT_2021_2024	900	1023	399526	40998	40.076246	390.543500	9.745012	3.000000	993	0.735890	2548	38450	0.294341	34813	0.087136	3031	0.073930	0.848451	34.030303	2.962854	117758	0.294744	10586	0.258208	0.876040	115.110459	10.347996
NKD	FIT_2021_2024	1800	1023	399526	19697	19.254154	390.543500	20.283596	7.000000	996	0.854546	2548	17149	0.294341	34813	0.087136	2334	0.118495	1.359892	34.030303	2.281525	117758	0.294744	6397	0.324770	1.101871	115.110459	6.253177
NKD	GATE_2025	600	258	112168	12842	49.775194	434.759690	8.734465	2.000000	949	0.669833	933	11909	0.349975	14569	0.129886	1362	0.106058	0.816552	56.468992	5.279070	41370	0.368822	4435	0.345351	0.936363	160.348837	17.189922
NKD	GATE_2025	900	258	112168	9018	34.953488	434.759690	12.438235	3.000000	1268	0.748281	933	8085	0.349975	14569	0.129886	1113	0.123420	0.950220	56.468992	4.313953	41370	0.368822	3289	0.364715	0.988865	160.348837	12.748062
NKD	GATE_2025	1800	258	112168	4595	17.810078	434.759690	24.410881	10.000000	1268	0.871164	933	3662	0.349975	14569	0.129886	879	0.191295	1.472796	56.468992	3.406977	41370	0.368822	2089	0.454625	1.232640	160.348837	8.096899
