# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=e800e849078628d09e1f07eacc8ec2146c571d1b7008f0314d0365fbe4b85075
era	asset	d8	realised_usd	day_ceiling_usd	oracle_ceiling_usd	n_seated
E1	NKD	20211012	-1415.000000	4272.500000	2012.500000	3
E1	NKD	20211013	710.000000	2197.500000	1912.500000	3
E1	NKD	20211014	-1027.500000	2785.000000	3800.000000	3
E1	NKD	20211015	-815.000000	2197.500000	2600.000000	3
E1	NKD	20211018	-127.500000	2647.500000	1662.500000	3
E1	NKD	20211019	397.500000	1747.500000	1700.000000	3
E1	NKD	20211020	160.000000	1685.000000	0.000000	3
E1	NKD	20211021	322.500000	4247.500000	2500.000000	3
E1	NKD	20211022	-152.500000	3272.500000	2850.000000	3
E1	NKD	20211025	347.500000	2085.000000	1750.000000	3
E1	NKD	20211026	-77.500000	3010.000000	2325.000000	3
E1	NKD	20211027	522.500000	2472.500000	1987.500000	3
E1	NKD	20211028	-15.000000	1397.500000	0.000000	3
E1	NKD	20211029	522.500000	3385.000000	4637.500000	3
E1	NKD	20211101	897.500000	2347.500000	1500.000000	3
E1	NKD	20211102	122.500000	635.000000	0.000000	3
E1	NKD	20211103	-277.500000	1690.000000	1837.500000	3
E1	NKD	20211104	910.000000	1397.500000	0.000000	3
E1	NKD	20211105	-227.500000	2160.000000	1637.500000	3
E1	NKD	20211108	110.000000	1997.500000	1975.000000	3
E1	NKD	20211109	-1190.000000	3022.500000	2850.000000	3
E1	NKD	20211110	-240.000000	2585.000000	1900.000000	3
E1	NKD	20211111	510.000000	2035.000000	2000.000000	3
E1	NKD	20211112	697.500000	1885.000000	0.000000	3
E1	NKD	20211115	-52.500000	860.000000	0.000000	3
E1	NKD	20211116	130.000000	1160.000000	0.000000	4
E1	NKD	20211117	335.000000	1722.500000	1512.500000	3
E1	NKD	20211118	1547.500000	1610.000000	1687.500000	3
E1	NKD	20211119	222.500000	2235.000000	0.000000	3
E1	NKD	20211122	-277.500000	2310.000000	0.000000	3
E1	NKD	20211123	485.000000	1685.000000	0.000000	3
E1	NKD	20211124	-140.000000	3260.000000	2175.000000	3
E1	NKD	20211125	-552.500000	685.000000	0.000000	3
E1	NKD	20211126	85.000000	7322.500000	3812.500000	3
E1	NKD	20211129	3610.000000	4060.000000	3500.000000	3
E1	NKD	20211130	-552.500000	7985.000000	6112.500000	3
E1	NKD	20211201	-1540.000000	6397.500000	5300.000000	3
E1	NKD	20211202	3622.500000	4147.500000	3637.500000	3
E1	NKD	20211203	2597.500000	4985.000000	5950.000000	3
E1	NKD	20211206	-852.500000	3022.500000	3925.000000	3
E1	NKD	20211207	-1177.500000	4435.000000	3950.000000	3
E1	NKD	20211208	-852.500000	2310.000000	0.000000	3
E1	NKD	20211209	-627.500000	1435.000000	1725.000000	3
E1	NKD	20211210	210.000000	2022.500000	0.000000	3
E1	NKD	20211213	535.000000	1397.500000	0.000000	3
E1	NKD	20211214	835.000000	2385.000000	3650.000000	3
E1	NKD	20211215	1722.500000	3397.500000	1975.000000	3
E1	NKD	20211216	-1740.000000	3347.500000	2350.000000	3
E1	NKD	20211217	497.500000	2972.500000	2012.500000	3
E1	NKD	20211220	-140.000000	4897.500000	4150.000000	3
E1	NKD	20211221	-440.000000	2460.000000	1875.000000	3
E1	NKD	20211222	-465.000000	1860.000000	0.000000	3
E1	NKD	20211223	47.500000	1185.000000	1512.500000	3
E1	NKD	20211227	-690.000000	2085.000000	1912.500000	3
E1	NKD	20211228	122.500000	1160.000000	0.000000	3
E1	NKD	20211229	810.000000	1497.500000	1887.500000	3
E1	NKD	20211230	-127.500000	1972.500000	1662.500000	3
E1	NKD	20211231	122.500000	847.500000	0.000000	3
E1	SI	20210701	72.500000	2472.500000	2375.000000	3
E1	SI	20210702	-190.000000	3047.500000	3500.000000	3
E1	SI	20210705	260.000000	1522.500000	0.000000	3
E1	SI	20210706	-65.000000	4272.500000	3912.500000	3
E1	SI	20210707	-852.500000	2997.500000	2325.000000	3
E1	SI	20210708	-682.500000	4010.000000	3575.000000	4
E1	SI	20210709	485.000000	3010.000000	3550.000000	3
E1	SI	20210712	-277.500000	3260.000000	3862.500000	3
E1	SI	20210713	10.000000	2747.500000	1675.000000	3
E1	SI	20210714	1172.500000	2272.500000	4325.000000	3
E1	SI	20210715	-790.000000	1860.000000	0.000000	3
E1	SI	20210716	-1077.500000	4235.000000	4375.000000	3
E1	SI	20210719	885.000000	2960.000000	3862.500000	3
E1	SI	20210720	247.500000	2072.500000	1925.000000	3
E1	SI	20210721	422.500000	3247.500000	4075.000000	3
E1	SI	20210722	-65.000000	3647.500000	2300.000000	3
E1	SI	20210723	110.000000	2447.500000	1900.000000	3
E1	SI	20210726	710.000000	2710.000000	0.000000	3
E1	SI	20210727	-902.500000	3660.000000	3412.500000	3
E1	SI	20210728	-290.000000	2635.000000	0.000000	3
E1	SI	20210729	-15.000000	3835.000000	4925.000000	3
E1	SI	20210730	647.500000	1310.000000	0.000000	3
E1	SI	20210802	435.000000	1872.500000	0.000000	3
E1	SI	20210803	22.500000	2197.500000	0.000000	3
E1	SI	20210804	122.500000	3985.000000	3262.500000	3
E1	SI	20210805	985.000000	2785.000000	2225.000000	3
E1	SI	20210806	2947.500000	5172.500000	5275.000000	3
E1	SI	20210809	-2090.000000	9710.000000	9112.500000	3
E1	SI	20210810	-327.500000	2747.500000	2250.000000	3
E1	SI	20210811	860.000000	2010.000000	0.000000	3
E1	SI	20210812	-702.500000	1922.500000	3612.500000	3
E1	SI	20210813	-602.500000	2947.500000	3450.000000	3
E1	SI	20210816	22.500000	3022.500000	1812.500000	3
E1	SI	20210817	297.500000	1610.000000	1650.000000	3
E1	SI	20210818	-1215.000000	2135.000000	2837.500000	3
E1	SI	20210819	-527.500000	3485.000000	4112.500000	3
E1	SI	20210820	-490.000000	1947.500000	1912.500000	3
E1	SI	20210823	-452.500000	3122.500000	4300.000000	3
E1	SI	20210824	147.500000	1710.000000	0.000000	3
E1	SI	20210825	860.000000	1960.000000	1600.000000	3
E1	SI	20210826	572.500000	1610.000000	1625.000000	3
E1	SI	20210827	-1327.500000	4635.000000	4575.000000	3
E1	SI	20210830	1597.500000	2085.000000	1500.000000	3
E1	SI	20210831	597.500000	2285.000000	3587.500000	3
E1	SI	20210901	22.500000	1960.000000	1975.000000	3
E1	SI	20210902	-1040.000000	1710.000000	2275.000000	3
E1	SI	20210903	2610.000000	4035.000000	5287.500000	3
E1	SI	20210906	135.000000	1110.000000	0.000000	3
E1	SI	20210907	-352.500000	3772.500000	5100.000000	3
