# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=6cde2ea3933876895c7b6e569626de8ceea99035edf20f86416489f253cea8c1
era	asset	d8	realised_usd	day_ceiling_usd	oracle_ceiling_usd	n_seated
E1	SI	20210702	-227.500000	3047.500000	3500.000000	3
E1	SI	20210705	322.500000	1522.500000	0.000000	3
E1	SI	20210706	-865.000000	4272.500000	3912.500000	3
E1	SI	20210707	-890.000000	2997.500000	2325.000000	3
E1	SI	20210708	97.500000	4010.000000	3575.000000	3
E1	SI	20210709	72.500000	3010.000000	3550.000000	3
E1	SI	20210712	-127.500000	3260.000000	3862.500000	3
E1	SI	20210713	922.500000	2747.500000	1675.000000	3
E1	SI	20210714	1172.500000	2272.500000	4325.000000	3
E1	SI	20210715	-190.000000	1860.000000	0.000000	3
E1	SI	20210716	-915.000000	4235.000000	4375.000000	3
E1	SI	20210719	985.000000	2960.000000	3862.500000	3
E1	SI	20210720	372.500000	2072.500000	1925.000000	3
E1	SI	20210721	522.500000	3247.500000	4075.000000	3
E1	SI	20210722	285.000000	3647.500000	2300.000000	3
E1	SI	20210723	747.500000	2447.500000	1900.000000	3
E1	SI	20210726	-327.500000	2710.000000	0.000000	3
E1	SI	20210727	-902.500000	3660.000000	3412.500000	3
E1	SI	20210728	-315.000000	2635.000000	0.000000	3
E1	SI	20210729	-327.500000	3835.000000	4925.000000	3
E1	SI	20210730	985.000000	1310.000000	0.000000	3
E1	SI	20210802	1222.500000	1872.500000	0.000000	3
E1	SI	20210803	-152.500000	2197.500000	0.000000	3
E1	SI	20210804	85.000000	3985.000000	3262.500000	3
E1	SI	20210805	10.000000	2785.000000	2225.000000	3
E1	SI	20210806	3010.000000	5172.500000	5275.000000	3
E1	SI	20210809	2260.000000	9710.000000	9112.500000	3
E1	SI	20210810	-202.500000	2747.500000	2250.000000	3
E1	SI	20210811	1110.000000	2010.000000	0.000000	3
E1	SI	20210812	735.000000	1922.500000	3612.500000	3
E1	SI	20210813	-740.000000	2947.500000	3450.000000	3
