# census 4 — the complete economics table: every entry x stop x exit cell, per era (all G1/G2 confirmed extremes, winners AND losers) (PORT-M2-GOALPATH-V1)
era	asset	cell	n_trades	win_rate	usd_per_trade	median_usd	risk_usd_mean	risk_usd_median	risk_usd_p90	r_mult_mean	r_mult_median	r_mult_p90	mae_usd_mean	mae_usd_p90	frac_ge_600	frac_ge_1000	trades_per_session
E2	ALL	DELAY_0|RECLAIM|PHASE	84133	0.1253	-34.92	-117.5	113.32	87.5	212.5	-0.392	-1.4	1.61	109.13	200	0.0587	0.0337	219.096
E2	ALL	DELAY_0|RECLAIM|TRAIL_1.0R	84133	0.2567	-35.28	-61.25	113.32	87.5	212.5	-0.4258	-0.76	1.135	61.94	137.5	0.0079	0.0021	219.096
E2	ALL	DELAY_0|RECLAIM|TRAIL_1.5R	84133	0.2667	-34.82	-80	113.32	87.5	212.5	-0.4168	-1.0667	1.669	79.4	175	0.0167	0.0053	219.096
E2	ALL	DELAY_0|SWING|PHASE	165098	0.0865	-32.5	-105	68.61	62.5	112.5	-0.5483	-1.6	-1.16	71.91	125	0.0397	0.0231	429.943
E2	ALL	DELAY_0|SWING|TRAIL_1.0R	165098	0.2298	-34.15	-55	68.61	62.5	112.5	-0.5905	-0.95	1.085	38.97	87.5	0.0016	0.0002	429.943
E2	ALL	DELAY_0|SWING|TRAIL_1.5R	165098	0.246	-33.25	-61.25	68.61	62.5	112.5	-0.5753	-1.2182	1.62	49.36	100	0.0047	0.0009	429.943
E2	ALL	DELAY_30|EXT|PHASE	155457	0.2351	-30.46	-192.5	236.46	212.5	400	-0.1654	-1.1375	2.36	200.34	362.5	0.0974	0.0543	404.836
E2	ALL	DELAY_30|EXT|TRAIL_1.0R	155457	0.3166	-32.94	-86.25	236.46	212.5	400	-0.1866	-0.4909	1.21	122.5	262.5	0.0314	0.0093	404.836
E2	ALL	DELAY_30|EXT|TRAIL_1.5R	155457	0.3232	-28.8	-117.5	236.46	212.5	400	-0.1686	-0.7111	1.712	157.99	325	0.0565	0.0217	404.836
E2	ALL	DELAY_30|RECLAIM|PHASE	83448	0.1335	-34.61	-117.5	122.23	100	225	-0.3782	-1.3429	1.81	116.19	225	0.0623	0.0355	217.312
E2	ALL	DELAY_30|RECLAIM|TRAIL_1.0R	83448	0.2609	-35.35	-67.5	122.23	100	225	-0.4056	-0.7333	1.144	66.26	150	0.0095	0.0028	217.312
E2	ALL	DELAY_30|RECLAIM|TRAIL_1.5R	83448	0.2702	-34.3	-80	122.23	100	225	-0.394	-1.05	1.678	85.1	187.5	0.02	0.0066	217.312
E2	ALL	DELAY_30|SWING|PHASE	165066	0.0901	-32.57	-105	72.24	62.5	125	-0.5368	-1.6	-1.114	75.07	125	0.0413	0.0239	429.859
E2	ALL	DELAY_30|SWING|TRAIL_1.0R	165066	0.2353	-33.41	-55	72.24	62.5	125	-0.5646	-0.9077	1.1	40.6	87.5	0.0022	0.0004	429.859
E2	ALL	DELAY_30|SWING|TRAIL_1.5R	165066	0.2486	-32.75	-61.25	72.24	62.5	125	-0.553	-1.2	1.62	51.57	100	0.0056	0.0012	429.859
E2	ALL	DELAY_60|EXT|PHASE	153180	0.2382	-30.9	-192.5	241.39	218.75	412.5	-0.1701	-1.1333	2.329	203.34	375	0.0983	0.0547	398.906
E2	ALL	DELAY_60|EXT|TRAIL_1.0R	153180	0.3155	-32.88	-86.25	241.39	218.75	412.5	-0.1877	-0.49	1.207	125.1	275	0.0328	0.0102	398.906
E2	ALL	DELAY_60|EXT|TRAIL_1.5R	153180	0.3242	-28.52	-117.5	241.39	218.75	412.5	-0.1685	-0.7071	1.709	161.1	331.25	0.058	0.0231	398.906
E2	ALL	DELAY_60|RECLAIM|PHASE	83263	0.1401	-35.32	-130	130.54	100	250	-0.378	-1.32	1.906	122.71	237.5	0.0648	0.0369	216.831
E2	ALL	DELAY_60|RECLAIM|TRAIL_1.0R	83263	0.2634	-35.53	-67.5	130.54	100	250	-0.3913	-0.7231	1.15	70.32	162.5	0.011	0.0032	216.831
E2	ALL	DELAY_60|RECLAIM|TRAIL_1.5R	83263	0.2735	-33.71	-80	130.54	100	250	-0.3807	-1.0333	1.66	90.54	200	0.0225	0.0083	216.831
E2	ALL	DELAY_60|SWING|PHASE	165033	0.0931	-34.09	-105	75.78	62.5	125	-0.5521	-1.6	-1.04	78.18	137.5	0.0422	0.0241	429.773
E2	ALL	DELAY_60|SWING|TRAIL_1.0R	165033	0.2356	-33.78	-55	75.78	62.5	125	-0.5543	-0.9	1.109	42.58	87.5	0.0023	0.0005	429.773
E2	ALL	DELAY_60|SWING|TRAIL_1.5R	165033	0.2501	-33.02	-67.5	75.78	62.5	125	-0.5417	-1.18	1.62	54.16	112.5	0.0065	0.0016	429.773
E2	ALL	DELAY_120|EXT|PHASE	149504	0.2439	-30.45	-186.25	249.38	225	431.25	-0.1734	-1.1297	2.297	207.73	387.5	0.0996	0.0552	389.333
E2	ALL	DELAY_120|EXT|TRAIL_1.0R	149504	0.3188	-31.41	-80	249.38	225	431.25	-0.1842	-0.48	1.213	128.64	275	0.0357	0.0117	389.333
E2	ALL	DELAY_120|EXT|TRAIL_1.5R	149504	0.3265	-28.34	-111.25	249.38	225	431.25	-0.1682	-0.6916	1.707	165.58	350	0.0599	0.0243	389.333
E2	ALL	DELAY_120|RECLAIM|PHASE	82915	0.1522	-34.94	-130	144.49	112.5	275	-0.3571	-1.3	2.067	133.29	262.5	0.0698	0.0394	215.924
E2	ALL	DELAY_120|RECLAIM|TRAIL_1.0R	82915	0.2678	-35.51	-67.5	144.49	112.5	275	-0.3724	-0.7	1.149	77.41	175	0.0138	0.0048	215.924
E2	ALL	DELAY_120|RECLAIM|TRAIL_1.5R	82915	0.2802	-32.6	-80	144.49	112.5	275	-0.3531	-0.9889	1.7	99.68	218.75	0.0278	0.0105	215.924
E2	ALL	DELAY_120|SWING|PHASE	164940	0.0992	-34.46	-105	81.25	62.5	137.5	-0.5279	-1.55	-0.067	82.9	150	0.0441	0.0248	429.531
E2	ALL	DELAY_120|SWING|TRAIL_1.0R	164940	0.2403	-33.96	-55	81.25	62.5	137.5	-0.5305	-0.8667	1.1	45.28	100	0.0029	0.0006	429.531
E2	ALL	DELAY_120|SWING|TRAIL_1.5R	164940	0.2553	-33.01	-67.5	81.25	62.5	137.5	-0.5147	-1.1462	1.645	57.68	125	0.0074	0.0019	429.531
E2	ALL	DELAY_180|EXT|PHASE	146429	0.2477	-30.24	-180	257.13	225	450	-0.1642	-1.1263	2.267	211.99	400	0.1011	0.0558	381.326
