# PORT M2 THE PRECISION FRONTIER (threshold x day-abstention x agreement) (PORT-M2-PRECISION-FRONTIER-V1)
# three INDEPENDENT readers of the same second: the full model (with teacher features), the teacher-evidence block alone, and the raw event-stream cue block alone
# 2of3 / 3of3 = the candidate is inside the tier for at least two / all three scores; alone_* is the same tier for one score by itself
era	rule	tier	n_candidates	n_seated	n_forfeited	precision	precision_lo	precision_hi	usd_per_trade	usd_per_trade_lo	usd_per_trade_hi	takes_per_day	takes_per_week	usd_per_day	usd_per_day_lo	usd_per_day_hi	usd_per_traded_day	usd_per_week	usd_per_week_lo	usd_week_p10	usd_week_median	frac_losing_weeks	frac_days_traded	n_days_traded	usd_per_session_all	usd_per_session_traded	mean_mae_usd	walled_rate	frac_ge_600	usd_total
E4	3of3	top_0.2%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
E4	alone_FULL_TF	top_0.2%	287	23	264	0.0870	-0.0427	0.2166	-422.3913	-783.8116	-60.9710	0.1783	0.8846	-75.3101	-150.0511	-0.5690	-647.6667	-373.6538	-737.8999	-1793.7500	0.0000	0.3462	0.1163	15	-25.2338	-607.1875	587.2283	0.6087	0.1304	-9715.0000
E4	alone_TEACHER	top_0.2%	303	11	292	0.2727	-0.0411	0.5865	492.7273	-355.7711	1341.2256	0.0853	0.4231	42.0155	-24.0264	108.0574	492.7273	208.4615	-172.2352	-386.2500	0.0000	0.1538	0.0853	11	14.0779	492.7273	301.1364	0.2727	0.4545	5420.0000
E4	alone_SEQ	top_0.2%	297	66	231	0.1061	0.0348	0.1773	130.7955	-93.3570	354.9479	0.5116	2.5385	66.9186	-44.6927	178.5299	227.1711	332.0192	-274.4557	-1441.8750	22.5000	0.2308	0.2946	38	22.4221	143.8750	305.8712	0.3333	0.3182	8632.5000
E4	1of3_any	top_0.5%	2204	150	2054	0.1000	0.0515	0.1485	-21.3750	-191.1129	148.3629	1.1628	5.7692	-24.8547	-221.7619	172.0526	-40.0781	-123.3173	-901.5204	-2537.5000	306.2500	0.4231	0.6202	80	-8.3279	-26.2807	353.0417	0.4000	0.2533	-3206.2500
E4	2of3	top_0.5%	25	5	20	0.0000	0.0000	0.0000	-417.5000	-1336.1163	501.1163	0.0388	0.1923	-16.1822	-42.9732	10.6088	-417.5000	-80.2885	-217.6959	-465.0000	0.0000	0.1154	0.0388	5	-5.4221	-417.5000	322.5000	0.6000	0.2000	-2087.5000
E4	3of3	top_0.5%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
E4	alone_FULL_TF	top_0.5%	741	42	699	0.0714	-0.0097	0.1526	-206.1905	-498.6223	86.2414	0.3256	1.6154	-67.1318	-162.4959	28.2323	-298.6207	-333.0769	-829.0893	-2112.5000	-58.7500	0.5000	0.2248	29	-22.4935	-270.6250	388.0952	0.5000	0.2381	-8660.0000
E4	alone_TEACHER	top_0.5%	746	24	722	0.1250	-0.0190	0.2690	62.7083	-443.5585	568.9751	0.1860	0.9231	11.6667	-76.3450	99.6783	65.4348	57.8846	-314.0697	-930.0000	0.0000	0.2692	0.1783	23	3.9091	65.4348	324.4792	0.4167	0.3333	1505.0000
E4	alone_SEQ	top_0.5%	742	99	643	0.1212	0.0571	0.1854	88.2449	-113.7149	290.2048	0.7674	3.8077	67.7229	-85.0317	220.4774	158.8409	336.0096	-402.6886	-1356.8750	97.5000	0.3846	0.4264	55	22.6916	98.1601	330.8712	0.3535	0.2727	8736.2500
E4	1of3_any	top_1%	4327	205	4122	0.1073	0.0634	0.1513	-50.5793	-188.2743	87.1158	1.5891	7.8846	-80.3779	-299.9758	139.2199	-111.4919	-398.7981	-1495.2789	-3475.0000	-701.8750	0.6538	0.7209	93	-26.9318	-64.0046	363.8415	0.4195	0.2537	-10368.7500
E4	2of3	top_1%	128	17	111	0.0588	-0.0688	0.1864	-55.0000	-737.1326	627.1326	0.1318	0.6538	-7.2481	-87.9633	73.4672	-62.3333	-35.9615	-464.9608	-930.0000	0.0000	0.2308	0.1163	15	-2.4286	-55.0000	340.8088	0.4706	0.1765	-935.0000
E4	3of3	top_1%	0	0	0	.	.	.	.	.	.	0.0000	0.0000	0.0000	.	.	.	0.0000	.	0.0000	0.0000	0.0000	0.0000	0	0.0000	.	.	.	.	0.0000
E4	alone_FULL_TF	top_1%	1487	59	1428	0.1525	0.0652	0.2399	41.3983	-187.2221	270.0187	0.4574	2.2692	18.9341	-82.1798	120.0480	66.0135	93.9423	-459.2523	-1395.0000	0.0000	0.4615	0.2868	37	6.3442	53.0978	391.7373	0.4068	0.2881	2442.5000
E4	alone_TEACHER	top_1%	1484	44	1440	0.0682	-0.0087	0.1450	-299.1761	-629.3916	31.0393	0.3411	1.6923	-102.0446	-220.8312	16.7420	-387.1691	-506.2981	-1019.0316	-1860.0000	-470.0000	0.6154	0.2636	34	-34.1916	-355.7770	360.2273	0.5682	0.1818	-13163.7500
E4	alone_SEQ	top_1%	1484	146	1338	0.0959	0.0431	0.1487	24.8373	-141.3708	191.0455	1.1318	5.6154	28.1105	-158.1709	214.3918	50.3646	139.4712	-692.6075	-2447.5000	-317.5000	0.5385	0.5581	72	9.4188	29.0100	349.4007	0.3836	0.2671	3626.2500
