# census 4 verdict — the stacked configurations (cell x filter x selection), one-position-per-asset replay, day-clustered CIs (PORT-M2-GOALPATH-V1)
era	cell	filter	selection	n_sessions	n_seats	seats_per_session	usd_per_session	ci_lo	ci_hi	usd_per_trade	risk_usd_median	win_rate	mdd_mean	vs_D048_bar
E2	TREND_1800|EXT|TRAIL_1.5R	VETO_K	ALL	384	3462	9.016	-354.17	-561.99	-147.95	-39.28	425	0.3648	1667.55	-0.177
E2	TREND_1800|EXT|TRAIL_1.5R	VETO_K	MODEL_TOP3	384	720	1.875	0.09	-60.81	64.72	0.05	325	0.4181	300.64	0
E2	TREND_1800|EXT|TRAIL_1.5R	VETO_2K	ALL	384	3062	7.974	-298.85	-455.92	-138.52	-37.48	400	0.3674	1382.49	-0.149
E2	TREND_1800|EXT|TRAIL_1.5R	VETO_2K	MODEL_TOP3	384	742	1.932	-15.18	-68.67	43.93	-7.86	312.5	0.4003	294.34	-0.008
E2	TREND_1800|EXT|TRAIL_1.5R	DAYSIDE	ALL	384	3673	9.565	-198.73	-354.01	-40.56	-20.78	300	0.3629	1352.42	-0.099
E2	TREND_1800|EXT|TRAIL_1.5R	DAYSIDE	MODEL_TOP3	384	671	1.747	57.96	-8.73	135.73	33.17	325	0.4352	276.87	0.029
E2	TREND_1800|EXT|TRAIL_1.5R	VETO_K+DAYSIDE	ALL	384	3029	7.888	-113.63	-257.8	28.9	-14.4	325	0.3744	1197.47	-0.057
E2	TREND_1800|EXT|TRAIL_1.5R	VETO_K+DAYSIDE	MODEL_TOP3	384	696	1.812	65.03	1.43	134.3	35.88	328.12	0.444	270.52	0.033
E2	TREND_1800|EXT|TRAIL_1.5R	SHUFFLED_VETO	ALL	384	3280	8.542	-364.26	-559.56	-167.4	-42.64	425	0.3561	1656.66	-0.182
E2	TREND_1800|EXT|TRAIL_1.5R	SHUFFLED_VETO	MODEL_TOP3	384	789	2.055	-53.86	-127.07	18.71	-26.21	350	0.379	376.19	-0.027
E2	TREND_1800|EXT|TRAIL_1.5R	SHUFFLED_DAYSIDE	ALL	384	3798	9.891	-262.41	-414.35	-107.23	-26.53	300	0.3504	1424.89	-0.131
E2	TREND_1800|EXT|TRAIL_1.5R	SHUFFLED_DAYSIDE	MODEL_TOP3	384	673	1.753	116.68	46.56	189.96	66.58	312.5	0.4532	263.61	0.058
E2	TREND_900|EXT|TRAIL_1.0R	NONE	ALL	384	7084	18.448	-495.33	-676.24	-311.85	-26.85	362.5	0.3545	1902.75	-0.248
E2	TREND_900|EXT|TRAIL_1.0R	NONE	MODEL_TOP3	384	771	2.008	-22.52	-70.06	27.54	-11.22	287.5	0.3735	248.99	-0.011
E2	TREND_900|EXT|TRAIL_1.0R	VETO_K	ALL	384	5820	15.156	-406.58	-587.16	-232.38	-26.83	362.5	0.36	1667.39	-0.203
E2	TREND_900|EXT|TRAIL_1.0R	VETO_K	MODEL_TOP3	384	788	2.052	-47.03	-88.8	-5.57	-22.92	287.5	0.368	243.28	-0.024
E2	TREND_900|EXT|TRAIL_1.0R	VETO_2K	ALL	384	4727	12.31	-371.32	-506.26	-228.41	-30.16	350	0.3567	1374.51	-0.186
E2	TREND_900|EXT|TRAIL_1.0R	VETO_2K	MODEL_TOP3	384	792	2.062	-8.83	-49.09	35.01	-4.28	275	0.3876	228.44	-0.004
E2	TREND_900|EXT|TRAIL_1.0R	DAYSIDE	ALL	384	6162	16.047	-463.1	-609.42	-317.59	-28.86	281.25	0.3457	1529	-0.232
E2	TREND_900|EXT|TRAIL_1.0R	DAYSIDE	MODEL_TOP3	384	747	1.945	13.06	-38.4	62.31	6.71	281.25	0.3922	229.67	0.007
E2	TREND_900|EXT|TRAIL_1.0R	VETO_K+DAYSIDE	ALL	384	4686	12.203	-304.42	-429.6	-180.28	-24.95	300	0.3517	1257.82	-0.152
E2	TREND_900|EXT|TRAIL_1.0R	VETO_K+DAYSIDE	MODEL_TOP3	384	778	2.026	-16.92	-60.25	28.15	-8.35	275	0.3907	232.12	-0.008
E2	TREND_900|EXT|TRAIL_1.0R	SHUFFLED_VETO	ALL	384	5598	14.578	-396.18	-556.84	-234.81	-27.18	375	0.3635	1700.16	-0.198
E2	TREND_900|EXT|TRAIL_1.0R	SHUFFLED_VETO	MODEL_TOP3	384	878	2.286	-55.28	-109.79	-2.59	-24.18	306.25	0.3497	322.86	-0.028
