# ROUND-2 SEALED BLIND LEDGER 20240501 (E6R2X-BLIND-D3) — hand channel ONLY (R2-9: the rubric never seats)
# every TAKE carries a decision_journal entry written BEFORE the call and a RIBBON_ACCESS row for the window it read
ep	asset	sec	side	call	p	src	compl	why
HG-20240501-S-E34	HG	09:47	S	SKIP	0.000	-	-	-
HG-20240501-L-E31	HG	09:50	L	SKIP	0.000	-	-	-
HG-20240501-L-E32	HG	09:55	L	SKIP	0.000	-	-	-
SI-20240501-L-E24	SI	09:55	L	SKIP	0.000	-	-	-
SI-20240501-L-E25	SI	09:59	L	SKIP	0.000	-	-	-
HG-20240501-L-E33	HG	09:59	L	SKIP	0.000	-	-	-
HG-20240501-S-E35	HG	10:02	S	SKIP	0.000	-	-	-
SI-20240501-L-E26	SI	10:03	L	SKIP	0.000	-	-	-
NKD-20240501-L-E38	NKD	10:04	L	SKIP	0.000	-	-	-
HG-20240501-S-E36	HG	10:04	S	SKIP	0.000	-	-	-
SI-20240501-S-E23	SI	10:04	S	SKIP	0.000	-	-	-
NKD-20240501-L-E39	NKD	10:07	L	SKIP	0.000	-	-	-
HG-20240501-L-E34	HG	10:09	L	SKIP	0.000	-	-	-
SI-20240501-L-E27	SI	10:10	L	SKIP	0.000	-	-	-
NKD-20240501-S-E42	NKD	10:11	S	SKIP	0.000	-	-	-
HG-20240501-S-E37	HG	10:11	S	SKIP	0.000	-	-	-
HG-20240501-L-E35	HG	10:12	L	SKIP	0.000	-	-	-
SI-20240501-S-E24	SI	10:18	S	SKIP	0.000	-	-	-
HG-20240501-S-E38	HG	10:18	S	SKIP	0.000	-	-	-
HG-20240501-L-E36	HG	10:22	L	SKIP	0.000	-	-	-
NKD-20240501-L-E40	NKD	10:24	L	SKIP	0.000	-	-	-
HG-20240501-L-E37	HG	10:28	L	SKIP	0.000	-	-	-
SI-20240501-L-E28	SI	10:29	L	SKIP	0.000	-	-	-
HG-20240501-S-E39	HG	10:32	S	SKIP	0.000	-	-	-
HG-20240501-S-E40	HG	10:40	S	SKIP	0.000	-	-	-
SI-20240501-S-E25	SI	10:42	S	SKIP	0.000	-	-	-
HG-20240501-S-E41	HG	10:42	S	SKIP	0.000	-	-	-
NKD-20240501-S-E43	NKD	10:44	S	SKIP	0.000	-	-	-
SI-20240501-S-E26	SI	10:46	S	SKIP	0.000	-	-	-
SI-20240501-S-E27	SI	10:49	S	SKIP	0.000	-	-	-
HG-20240501-L-E38	HG	10:50	L	SKIP	0.000	-	-	-
HG-20240501-L-E39	HG	10:56	L	SKIP	0.000	-	-	-
SI-20240501-L-E29	SI	10:58	L	SKIP	0.000	-	-	-
NKD-20240501-L-E41	NKD	10:58	L	SKIP	0.000	-	-	-
HG-20240501-L-E40	HG	10:58	L	SKIP	0.000	-	-	-
NKD-20240501-S-E44	NKD	11:07	S	SKIP	0.000	-	-	-
SI-20240501-L-E30	SI	11:08	L	SKIP	0.000	-	-	-
SI-20240501-L-E31	SI	11:12	L	SKIP	0.000	-	-	-
HG-20240501-S-E42	HG	11:13	S	SKIP	0.000	-	-	-
HG-20240501-L-E41	HG	11:14	L	SKIP	0.000	-	-	-
SI-20240501-S-E28	SI	11:14	S	SKIP	0.000	-	-	-
SI-20240501-S-E29	SI	11:17	S	SKIP	0.000	-	-	-
NKD-20240501-L-E42	NKD	11:18	L	SKIP	0.000	-	-	-
HG-20240501-S-E43	HG	11:20	S	SKIP	0.000	-	-	-
SI-20240501-S-E30	SI	11:20	S	SKIP	0.000	-	-	-
HG-20240501-S-E44	HG	11:24	S	SKIP	0.000	-	-	-
SI-20240501-L-E32	SI	11:32	L	SKIP	0.000	-	-	-
