# census 4 — the trend entries gated by the [conf, entry] post-window decidability block (m2_delay._post_path features, walk-forward GBT), $/trade by gate keep-fraction (PORT-M2-GOALPATH-V1)
cell	era	gate_keep_frac	n	usd_per_trade	win_rate	ungated_usd_per_trade
TREND_3600|EXT|TRAIL_1.0R	E6	0.3	22950	11.73	0.4047	-11.89
TREND_3600|EXT|TRAIL_1.0R	E6	0.5	38250	2.14	0.4006	-11.89
TREND_3600|EXT|TRAIL_1.0R	E6	1	76500	-11.89	0.3938	-11.89
TREND_3600|RECLAIM|TRAIL_1.0R	E3	0.05	3568	86.41	0.4358	-14.19
TREND_3600|RECLAIM|TRAIL_1.0R	E3	0.1	7136	39.83	0.3929	-14.19
TREND_3600|RECLAIM|TRAIL_1.0R	E3	0.2	14273	12.4	0.3709	-14.19
TREND_3600|RECLAIM|TRAIL_1.0R	E3	0.3	21410	-1.3	0.3557	-14.19
TREND_3600|RECLAIM|TRAIL_1.0R	E3	0.5	35683	-10.29	0.3435	-14.19
TREND_3600|RECLAIM|TRAIL_1.0R	E3	1	71367	-14.19	0.3473	-14.19
TREND_3600|RECLAIM|TRAIL_1.0R	E4	0.05	3484	13.74	0.4268	-21.2
TREND_3600|RECLAIM|TRAIL_1.0R	E4	0.1	6968	8.16	0.4169	-21.2
TREND_3600|RECLAIM|TRAIL_1.0R	E4	0.2	13936	-7.46	0.3886	-21.2
TREND_3600|RECLAIM|TRAIL_1.0R	E4	0.3	20904	-13.94	0.37	-21.2
TREND_3600|RECLAIM|TRAIL_1.0R	E4	0.5	34840	-19.44	0.3562	-21.2
TREND_3600|RECLAIM|TRAIL_1.0R	E4	1	69680	-21.2	0.3485	-21.2
TREND_3600|RECLAIM|TRAIL_1.0R	E5	0.05	3592	88.39	0.4621	-25.03
TREND_3600|RECLAIM|TRAIL_1.0R	E5	0.1	7184	19.53	0.4126	-25.03
TREND_3600|RECLAIM|TRAIL_1.0R	E5	0.2	14369	-2.64	0.3835	-25.03
TREND_3600|RECLAIM|TRAIL_1.0R	E5	0.3	21554	-10.06	0.37	-25.03
TREND_3600|RECLAIM|TRAIL_1.0R	E5	0.5	35923	-17.09	0.3523	-25.03
TREND_3600|RECLAIM|TRAIL_1.0R	E5	1	71847	-25.03	0.3482	-25.03
TREND_3600|RECLAIM|TRAIL_1.0R	E6	0.05	3825	117.12	0.4439	-16.36
TREND_3600|RECLAIM|TRAIL_1.0R	E6	0.1	7650	44.88	0.4013	-16.36
TREND_3600|RECLAIM|TRAIL_1.0R	E6	0.2	15300	15	0.3805	-16.36
