ep	asset	rep_close	rep_mae	rep_win	best_close	n_win	oracle
SI-20240118-L-E49	SI	1420	200	1	1508	9	0
SI-20240118-L-E50	SI	1495	125	1	1570	6	1
SI-20240118-L-E51	SI	1145	300	0	1357	7	0
SI-20240118-L-E52	SI	920	125	0	920	0	0
SI-20240118-L-E53	SI	945	13	0	945	0	0
SI-20240118-L-E54	SI	770	175	0	770	0	0
SI-20240118-L-E55	SI	783	38	0	808	0	0
SI-20240118-L-E56	SI	670	75	0	683	0	0
SI-20240118-L-E57	SI	670	75	0	670	0	0
SI-20240118-L-E58	SI	570	87	0	570	0	0
SI-20240118-L-E59	SI	470	187	0	520	0	0
SI-20240118-L-E60	SI	358	300	0	358	0	0
SI-20240118-L-E61	SI	595	62	0	595	0	0
SI-20240118-L-E62	SI	557	100	0	557	0	0
SI-20240118-L-E63	SI	545	62	0	570	0	0
SI-20240118-L-E64	SI	545	25	0	545	0	0
SI-20240118-L-E65	SI	433	38	0	433	0	0
SI-20240118-L-E66	SI	370	100	0	370	0	0
SI-20240118-L-E67	SI	320	150	0	320	0	0
SI-20240118-L-E68	SI	395	25	0	395	0	0
SI-20240118-L-E69	SI	220	50	0	220	0	0
SI-20240118-L-E70	SI	95	75	0	95	0	0
SI-20240118-L-E71	SI	83	87	0	83	0	0
SI-20240118-L-E72	SI	95	12	0	95	0	0
SI-20240118-L-E73	SI	-17	87	0	-17	0	0
SI-20240118-L-E74	SI	-92	12	0	-92	0	0
SI-20240118-S-E01	SI	-480	500	0	-480	0	0
SI-20240118-S-E02	SI	-505	525	0	-505	0	0
SI-20240118-S-E03	SI	-405	425	0	-405	0	0
SI-20240118-S-E04	SI	-430	450	0	-430	0	0
SI-20240118-S-E05	SI	-555	575	0	-555	0	0
SI-20240118-S-E06	SI	-342	362	0	-342	0	0
SI-20240118-S-E07	SI	-368	388	0	-368	0	0
SI-20240118-S-E08	SI	-393	412	0	-380	0	0
SI-20240118-S-E09	SI	-530	550	0	-530	0	0
SI-20240118-S-E10	SI	-430	450	0	-430	0	0
SI-20240118-S-E11	SI	-455	475	0	-455	0	0
SI-20240118-S-E12	SI	-405	425	0	-405	0	0
SI-20240118-S-E13	SI	-555	575	0	-555	0	0
SI-20240118-S-E14	SI	-593	612	0	-593	0	0
SI-20240118-S-E15	SI	-230	250	0	-155	0	0
SI-20240118-S-E16	SI	-93	113	0	-93	0	0
SI-20240118-S-E17	SI	-180	200	0	-180	0	0
SI-20240118-S-E18	SI	-18	25	0	-18	0	0
SI-20240118-S-E19	SI	320	0	0	320	0	1
SI-20240118-S-E20	SI	145	150	0	145	0	0
SI-20240118-S-E21	SI	70	225	0	70	0	0
SI-20240118-S-E22	SI	270	12	0	270	0	0
SI-20240118-S-E23	SI	170	88	0	170	0	0
SI-20240118-S-E24	SI	145	113	0	145	0	0
SI-20240118-S-E25	SI	20	237	0	20	0	0
SI-20240118-S-E26	SI	-80	337	0	-80	0	0
SI-20240118-S-E27	SI	-155	412	0	-130	0	0
SI-20240118-S-E28	SI	-130	388	0	-130	0	0
SI-20240118-S-E29	SI	-130	388	0	-130	0	0
SI-20240118-S-E30	SI	170	63	0	170	0	0
SI-20240118-S-E31	SI	120	87	0	120	0	0
SI-20240118-S-E32	SI	58	150	0	58	0	0
SI-20240118-S-E33	SI	20	187	0	20	0	0
SI-20240118-S-E34	SI	-55	262	0	-55	0	0
SI-20240118-S-E35	SI	-80	287	0	-80	0	0
SI-20240118-S-E36	SI	-180	387	0	-180	0	0
SI-20240118-S-E37	SI	-830	262	0	-830	0	0
SI-20240118-S-E38	SI	-880	312	0	-880	0	0
SI-20240118-S-E39	SI	-930	375	0	-930	0	0
SI-20240118-S-E40	SI	-930	337	0	-930	0	0
SI-20240118-S-E41	SI	-717	150	0	-717	0	0
SI-20240118-S-E42	SI	-755	187	0	-755	0	0
SI-20240118-S-E43	SI	-780	75	0	-780	0	0
SI-20240118-S-E44	SI	-755	50	0	-755	0	0
SI-20240118-S-E45	SI	-780	25	0	-780	0	0
SI-20240118-S-E46	SI	-830	75	0	-830	0	0
SI-20240118-S-E47	SI	-930	75	0	-930	0	0
SI-20240118-S-E48	SI	-930	25	0	-930	0	0
SI-20240118-S-E49	SI	-930	425	0	-930	0	0
SI-20240118-S-E50	SI	-930	300	0	-930	0	0
SI-20240118-S-E51	SI	-930	0	0	-930	0	0
SI-20240118-S-E52	SI	-930	50	0	-930	0	0
SI-20240118-S-E53	SI	-930	0	0	-930	0	0
SI-20240118-S-E54	SI	-930	0	0	-930	0	0
SI-20240118-S-E55	SI	-930	100	0	-930	0	0
SI-20240118-S-E56	SI	-930	188	0	-930	0	0
SI-20240118-S-E57	SI	-930	225	0	-930	0	0
SI-20240118-S-E58	SI	-930	75	0	-930	0	0
SI-20240118-S-E59	SI	-930	0	0	-930	0	0
SI-20240118-S-E60	SI	-930	62	0	-930	0	0
SI-20240118-S-E61	SI	-930	37	0	-930	0	0
SI-20240118-S-E62	SI	-930	75	0	-930	0	0
SI-20240118-S-E63	SI	-930	0	0	-930	0	0
SI-20240118-S-E64	SI	-930	0	0	-930	0	0
SI-20240118-S-E65	SI	-530	13	0	-530	0	0
SI-20240118-S-E66	SI	-680	50	0	-680	0	0
SI-20240118-S-E67	SI	-743	25	0	-730	0	0
SI-20240118-S-E68	SI	-780	13	0	-780	0	0
SI-20240118-S-E69	SI	-642	287	0	-630	0	0
SI-20240118-S-E70	SI	-455	62	0	-405	0	0
SI-20240118-S-E71	SI	-580	75	0	-555	0	0
SI-20240118-S-E72	SI	-693	188	0	-693	0	0
SI-20240118-S-E73	SI	-630	50	0	-630	0	0
SI-20240118-S-E74	SI	-605	0	0	-605	0	0
SI-20240118-S-E75	SI	-380	25	0	-380	0	0
SI-20240118-S-E76	SI	-430	0	0	-430	0	0
SI-20240118-S-E77	SI	-455	0	0	-455	0	0
SI-20240118-S-E78	SI	-405	0	0	-405	0	0
SI-20240118-S-E79	SI	-155	63	0	-105	0	0
SI-20240118-S-E80	SI	-230	0	0	-230	0	0
SI-20240118-S-E81	SI	-180	25	0	-180	0	0
SI-20240118-S-E82	SI	-68	25	0	-68	0	0
