# PORT M2 THE PRECISION FRONTIER (threshold x day-abstention x agreement) (PORT-M2-PRECISION-FRONTIER-V1)
# THE DAY-ABSTENTION FRONTIER.  causal_top3_running: an (asset, day) qualifies the instant its RUNNING top-3 mean of arrived candidate scores crosses the gate — no day-end quantity is read anywhere
# preday_forecaster: the oracle-free variant — a walk-forward day-value model on the forecaster + overnight state as of the day's FIRST candidate second, no candidate score in it at all
era	gate	gate_pct	gate_value	n_sessions_qualified	tier	n_candidates	n_seated	n_forfeited	precision	precision_lo	precision_hi	usd_per_trade	usd_per_trade_lo	usd_per_trade_hi	takes_per_day	takes_per_week	usd_per_day	usd_per_day_lo	usd_per_day_hi	usd_per_traded_day	usd_per_week	usd_per_week_lo	usd_week_p10	usd_week_median	frac_losing_weeks	frac_days_traded	n_days_traded	usd_per_session_all	usd_per_session_traded	mean_mae_usd	walled_rate	frac_ge_600	usd_total
E6	causal_top3_running	q95.0	0.1197	111	top_5%	1582	45	1537	0.0667	-0.0171	0.1504	-236.9444	-540.1055	66.2167	0.3516	1.7308	-83.3008	-200.8801	34.2785	-592.3611	-410.0962	-1101.0781	-1793.1250	0.0000	0.2692	0.1406	18	-27.7669	-394.9074	591.6667	0.6222	0.1556	-10662.5000
E6	causal_top3_running	q95.0	0.1197	111	top_100%	31647	285	31362	0.0842	0.0514	0.1170	-52.2368	-187.8410	83.3673	2.2266	10.9615	-116.3086	-423.7363	191.1191	-225.5682	-572.5962	-2177.8347	-5726.8750	-277.5000	0.5385	0.5156	66	-38.7695	-134.1216	565.0877	0.5439	0.2211	-14887.5000
E6	causal_top3_running	q97.5	0.1386	61	top_0.05%	9	1	8	0.0000	.	.	-155.0000	.	.	0.0078	0.0385	-1.2109	-3.6072	1.1853	-155.0000	-5.9615	-18.2396	0.0000	0.0000	0.0385	0.0078	1	-0.4036	-155.0000	368.7500	0.0000	0.0000	-155.0000
E6	causal_top3_running	q97.5	0.1386	61	top_0.1%	17	1	16	0.0000	.	.	695.0000	.	.	0.0078	0.0385	5.4297	-5.3147	16.1741	695.0000	26.7308	-28.3223	0.0000	0.0000	0.0000	0.0078	1	1.8099	695.0000	25.0000	0.0000	1.0000	695.0000
E6	causal_top3_running	q97.5	0.1386	61	top_0.2%	35	1	34	0.0000	.	.	695.0000	.	.	0.0078	0.0385	5.4297	-5.3147	16.1741	695.0000	26.7308	-28.3223	0.0000	0.0000	0.0000	0.0078	1	1.8099	695.0000	25.0000	0.0000	1.0000	695.0000
E6	causal_top3_running	q97.5	0.1386	61	top_0.5%	87	7	80	0.0000	0.0000	0.0000	-497.8571	-2747.3198	1751.6055	0.0547	0.2692	-27.2266	-103.4688	49.0156	-1161.6667	-134.0385	-527.8003	0.0000	0.0000	0.0769	0.0234	3	-9.0755	-871.2500	391.9643	0.7143	0.1429	-3485.0000
E6	causal_top3_running	q97.5	0.1386	61	top_1%	175	8	167	0.1250	-0.1831	0.4331	-262.8125	-1285.4113	759.7863	0.0625	0.3077	-16.4258	-54.4109	21.5593	-700.8333	-80.8654	-276.3260	0.0000	0.0000	0.0769	0.0234	3	-5.4753	-420.5000	491.4063	0.6250	0.2500	-2102.5000
E6	causal_top3_running	q97.5	0.1386	61	top_2%	350	12	338	0.1667	-0.0101	0.3435	202.2917	-1275.1355	1679.7188	0.0938	0.4615	18.9648	-50.8485	88.7781	606.8750	93.3654	-268.3817	0.0000	0.0000	0.0769	0.0312	4	6.3216	346.7857	454.1667	0.4167	0.3333	2427.5000
E6	causal_top3_running	q97.5	0.1386	61	top_5%	874	28	846	0.0000	0.0000	0.0000	-144.5089	-519.3565	230.3386	0.2188	1.0769	-31.6113	-109.0651	45.8424	-404.6250	-155.6250	-591.7573	-1203.7500	0.0000	0.1923	0.0781	10	-10.5371	-252.8906	484.1518	0.5714	0.2143	-4046.2500
E6	causal_top3_running	q97.5	0.1386	61	top_100%	17487	179	17308	0.0782	0.0353	0.1211	-132.4441	-317.3795	52.4912	1.3984	6.8846	-185.2148	-464.7278	94.2981	-538.8068	-911.8269	-3000.7362	-4130.0000	0.0000	0.2692	0.3438	44	-61.7383	-388.6475	592.7374	0.5866	0.2067	-23707.5000
