# PORT_HL_CENSUS_SPEC.md PORT_HL_CENSUS_SPEC §2-§4 (H/L prediction census) (c) calibration (hl_spec_sha16=ff35394b9f87b891, m1_spec_sha16=62ce5c5edb7857cc)
# params_hash=d11a0a8c9f71645d7ffaa741b2d96bf1e1b8df2dd2f7caf234f01cea3bcd3d36
asset	family	target	side	q	era	n	coverage	nominal	abs_err
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.75	2022	258	0.507752	0.750000	0.242248
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.75	2023	257	0.782101	0.750000	0.032101
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.75	2024	259	0.745174	0.750000	0.004826
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.75	2025	257	0.692607	0.750000	0.057393
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.75	FIT_2021_2024	886	0.689616	0.750000	0.060384
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.75	GATE_2025	257	0.692607	0.750000	0.057393
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.75	2021	112	0.758929	0.750000	0.008929
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.75	2022	258	0.550388	0.750000	0.199612
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.75	2023	257	0.770428	0.750000	0.020428
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.75	2024	259	0.776062	0.750000	0.026062
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.75	2025	257	0.680934	0.750000	0.069066
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.75	FIT_2021_2024	886	0.706546	0.750000	0.043454
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.75	GATE_2025	257	0.680934	0.750000	0.069066
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.90	2021	112	0.910714	0.900000	0.010714
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.90	2022	258	0.740310	0.900000	0.159690
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.90	2023	257	0.910506	0.900000	0.010506
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.90	2024	259	0.899614	0.900000	0.000386
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.90	2025	257	0.856031	0.900000	0.043969
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.90	FIT_2021_2024	886	0.857788	0.900000	0.042212
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.90	GATE_2025	257	0.856031	0.900000	0.043969
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.90	2021	112	0.892857	0.900000	0.007143
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.90	2022	258	0.713178	0.900000	0.186822
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.90	2023	257	0.902724	0.900000	0.002724
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.90	2024	259	0.915058	0.900000	0.015058
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.90	2025	257	0.824903	0.900000	0.075097
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.90	FIT_2021_2024	886	0.849887	0.900000	0.050113
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.90	GATE_2025	257	0.824903	0.900000	0.075097
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.95	2021	112	0.955357	0.950000	0.005357
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.95	2022	258	0.813953	0.950000	0.136047
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.95	2023	257	0.972763	0.950000	0.022763
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.95	2024	259	0.926641	0.950000	0.023359
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.95	2025	257	0.910506	0.950000	0.039494
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.95	FIT_2021_2024	886	0.910835	0.950000	0.039165
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	UP	0.95	GATE_2025	257	0.910506	0.950000	0.039494
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.95	2021	112	0.955357	0.950000	0.005357
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.95	2022	258	0.810078	0.950000	0.139922
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.95	2023	257	0.961089	0.950000	0.011089
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.95	2024	259	0.949807	0.950000	0.000193
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.95	2025	257	0.929961	0.950000	0.020039
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.95	FIT_2021_2024	886	0.913093	0.950000	0.036907
SI	P1_SIDE_POPEN	PHASE_HL|LONDON	DN	0.95	GATE_2025	257	0.929961	0.950000	0.020039
SI	P1_SIDE_POPEN	PHASE_HL|NY	UP	0.50	2021	112	0.428571	0.500000	0.071429
SI	P1_SIDE_POPEN	PHASE_HL|NY	UP	0.50	2022	258	0.360465	0.500000	0.139535
SI	P1_SIDE_POPEN	PHASE_HL|NY	UP	0.50	2023	257	0.478599	0.500000	0.021401
SI	P1_SIDE_POPEN	PHASE_HL|NY	UP	0.50	2024	259	0.513514	0.500000	0.013514
SI	P1_SIDE_POPEN	PHASE_HL|NY	UP	0.50	2025	258	0.500000	0.500000	0.000000
SI	P1_SIDE_POPEN	PHASE_HL|NY	UP	0.50	FIT_2021_2024	886	0.448081	0.500000	0.051919
SI	P1_SIDE_POPEN	PHASE_HL|NY	UP	0.50	GATE_2025	258	0.500000	0.500000	0.000000
SI	P1_SIDE_POPEN	PHASE_HL|NY	DN	0.50	2021	112	0.526786	0.500000	0.026786
SI	P1_SIDE_POPEN	PHASE_HL|NY	DN	0.50	2022	258	0.414729	0.500000	0.085271
SI	P1_SIDE_POPEN	PHASE_HL|NY	DN	0.50	2023	257	0.498054	0.500000	0.001946
SI	P1_SIDE_POPEN	PHASE_HL|NY	DN	0.50	2024	259	0.444015	0.500000	0.055985
SI	P1_SIDE_POPEN	PHASE_HL|NY	DN	0.50	2025	258	0.492248	0.500000	0.007752
SI	P1_SIDE_POPEN	PHASE_HL|NY	DN	0.50	FIT_2021_2024	886	0.461625	0.500000	0.038375
