# PORT_HL_CENSUS_SPEC.md PORT_HL_CENSUS_SPEC §2-§4 (H/L prediction census) (hl_spec_sha16=ff35394b9f87b891, m1_spec_sha16=ed126c64eee71c41)
# params_hash=0bfcf7e30aa61b66f82fe08b1f33b845c9bebe172ff2e266362eaca9d5013750
# max(2 x tick_$, 0.05 x ATR14_prev_$) / mult
# family levels displaced +0.5 x ATR14_prev_$ / mult, sign alternating by level index within the family (D-052 null)
# D-054/CC-M1-4: TWO_SIDED and spread_$ <= min(10 x trailing-phase-median spread_$, $500); trailing median = same-phase per-session medians over the 20 STRICTLY PRIOR sessions (>= 5 observations, else only the cap binds); insane seconds typed-excluded, never interpolated
# n_scored = extremes where the family declares a compatible-side level (capture/null denominator); n_extremes = ALL realized extremes of the target (marginal_pp denominator)
asset	family	target	era	n_scored	n_extremes	applicable_frac	n_hit	capture	n_hit_null	null_capture	lift	med_dist_usd	med_dist_atr	n_uncovered_by_kept	n_uncovered_hit	marginal_pp	kept_ledger_cover
SI	P3_OR60	REST_OF_WINDOW|NY	2021	284	284	1.000000	107	0.376761	50	0.176056	2.140000	206.250000	0.083410	70	25	0.088028	0.753521
SI	P3_OR60	REST_OF_WINDOW|NY	2022	516	516	1.000000	204	0.395349	71	0.137597	2.873239	200.000000	0.075102	39	11	0.021318	0.924419
SI	P3_OR60	REST_OF_WINDOW|NY	2023	514	514	1.000000	194	0.377432	87	0.169261	2.229885	225.000000	0.090123	40	5	0.009728	0.922179
SI	P3_OR60	REST_OF_WINDOW|NY	2024	518	518	1.000000	200	0.386100	67	0.129344	2.985075	290.625000	0.089855	28	6	0.011583	0.945946
SI	P3_OR60	REST_OF_WINDOW|NY	FIT_2021_2024	1832	1832	1.000000	705	0.384825	275	0.150109	2.563636	225.000000	0.084618	177	47	0.025655	0.903384
SI	P3_OR60	REST_OF_WINDOW|NY	GATE_2025	516	516	1.000000	212	0.410853	77	0.149225	2.753247	312.500000	0.076304	41	9	0.017442	0.920543
SI	P3_OR60	REST_OF_WINDOW|SESSION	2021	284	284	1.000000	87	0.306338	38	0.133803	2.289474	500.000000	0.201904	58	23	0.080986	0.795775
SI	P3_OR60	REST_OF_WINDOW|SESSION	2022	516	516	1.000000	131	0.253876	88	0.170543	1.488636	593.750000	0.232697	24	3	0.005814	0.953488
SI	P3_OR60	REST_OF_WINDOW|SESSION	2023	514	514	1.000000	125	0.243191	76	0.147860	1.644737	612.500000	0.252470	41	6	0.011673	0.920233
SI	P3_OR60	REST_OF_WINDOW|SESSION	2024	518	518	1.000000	148	0.285714	88	0.169884	1.681818	687.500000	0.206512	22	3	0.005792	0.957529
SI	P3_OR60	REST_OF_WINDOW|SESSION	FIT_2021_2024	1832	1832	1.000000	491	0.268013	290	0.158297	1.693103	612.500000	0.227001	145	35	0.019105	0.920852
